Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,Y601,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,1,28.63636 MHz,
2,"C203,C33,C34,C202,C201",C_0805_2012Metric,5,22u,
3,L4,FNR6028S1R5MT,1,1.5u,
4,"R1,R25,R28,R6,R23,R26,R22,R208,R2,R24,R27",R_0402_1005Metric,11,0,
5,"C222,C228",C_0402_1005Metric,2,39p,
6,"C210,C611,C27,C231,C207,C618,C205,C614,C615,C3,C620,C206,C1,C604,C24",C_0201_0603Metric,15,100n,
7,C2,C_0603_1608Metric,1,~,
8,"C216,C223",C_0402_1005Metric,2,1.8p,
9,J101,PinHeader_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,
10,"C602,C603",C_0201_0603Metric,2,22p,
11,"R203,R202,R204,R606",R_0201_0603Metric,4,10k,
12,",,,",RPi_Hat_Mounting_Hole,4,,
13,R5,R_0603_1608Metric,1,51R,
14,"C215,C209",C_0402_1005Metric,2,47p,
15,C208,C_0402_1005Metric,1,2.2u,
16,U201,SX1262IMLTRT,1,SX1262IMLTRT,
17,Y201,JYJE-3TJ432000HYFBC,1,32 MHz,
18,"C612,C613,C616,C617,C619,C227",C_0201_0603Metric,6,10n,
19,L206,L_0402_1005Metric,1,9.1n,
20,"C221,C219",C_0402_1005Metric,2,5.6p,
21,"C224,C218,C225",C_0402_1005Metric,3,1n,
22,"C25,C23,C26",C_0603_1608Metric,3,10u,
23,"R205,R605,R201,R604",R_0201_0603Metric,4,100k,
24,J3,RCJ-054,1,Conn_Coaxial,
25,"C606,C607,C211,C608,C605",C_0402_1005Metric,5,1u,
26,L201,L_0402_1005Metric,1,0R,
27,C610,C_0402_1005Metric,1,680n,
28,C217,C_0402_1005Metric,1,2.4p,
29,C226,C_0201_0603Metric,1,100p,
30,C220,C_0402_1005Metric,1,3p,
31,U203,SW-GPS01,1,SW-GPS01,
32,J2,PJ-037A,1,Barrel_Jack,
33,R4,R_0603_1608Metric,1,24R,
34,R301,R_0201_0603Metric,1,47R,
35,C204,C_0402_1005Metric,1,470n,
36,L205,L_0402_1005Metric,1,4.7n,
37,J102,FFC3A20-15-G,1,Conn_01x15,
38,"TP1,TP2,TP3",TestPoint_THTPad_D2.5mm_Drill1.2mm,3,TestPoint,
39,J1,USB_A_Molex_67643_Horizontal,1,USB_A,
40,R603,R_0201_0603Metric,1,1k,
41,L203,L_0402_1005Metric,1,15n,
42,"C229,C230",C_0402_1005Metric,2,3.3p,
43,U204,IC_SKY13453-385LF,1,SKY13453-385LF,
44,R206,R_0201_0603Metric,1,2.2k,
45,"U602,U603",SOT-23-5,2,AP2127K-1.8,
46,U202,RX5808,1,RX5808,
47,C213,C_0402_1005Metric,1,47n,
48,U601,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,1,ADV7282A-M,
49,R7,R_0402_1005Metric,1,100k,
50,"C214,C212",C_0201_0603Metric,2,16p,
51,R9,R_0201_0603Metric,1,30k,
52,R207,R_0201_0603Metric,1,2.7k,
53,R3,R_1206_3216Metric,1,0,
54,R8,R_0603_1608Metric,1,135k,
55,U3,SOT-563,1,TPS564242DRLR,
56,L202,L_0402_1005Metric,1,47n,
57,"J203,J202,J201",U.FL-R-SMT-1(60),3,U.FL,
58,L204,L_0402_1005Metric,1,2.5n,
59,D401,D_SMA,1,SMAJ5.0A,
